session_id,category,urgency,task_description,start_time,end_time,duration_seconds,total_blinks,avg_bpm,avg_ear,avg_blink_duration,focus_score,fatigue_events,notes,raw_file
20260615_112553_coding,Coding,High,Fixing UI on neurofocus dashboard,2026-06-15 11:25:53,2026-06-15 11:27:28,95.0,32,17.61542909873817,0.2670466714220703,0.4100934936999991,56.93585108376052,4,Need to get camera resolution working correctly,20260615_112553_coding.csv
20260615_120559_biology,Biology,Medium,wd,2026-06-15 12:05:59,2026-06-15 12:07:38,99.0,28,33.082581727794185,0.2786705790979696,0.2070355645999598,43.0,3,dwd,20260615_120559_biology.csv
